MatchID,Date,Team1,Team2,Winner,Venue,City,TossWinner,TossDecision,PlayerOfMatch
1512734,2026-02-12,Sri Lanka,Oman,Sri Lanka,Pallekele International Cricket Stadium,Kandy,Oman,field,P Rathnayake
1512735,2026-02-12,Nepal,Italy,Italy,"Wankhede Stadium, Mumbai",Mumbai,Italy,field,CJPF Kalugamage
1512736,2026-02-12,India,Namibia,India,"Arun Jaitley Stadium, Delhi",Delhi,Namibia,field,HH Pandya
1512737,2026-02-13,Zimbabwe,Australia,Zimbabwe,"R Premadasa Stadium, Colombo",Colombo,Australia,field,B Muzarabani
1512738,2026-02-13,Canada,United Arab Emirates,United Arab Emirates,"Arun Jaitley Stadium, Delhi",Delhi,Canada,bat,Junaid Siddique
1512739,2026-02-13,United States of America,Netherlands,United States of America,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Netherlands,field,Harmeet Singh
1512740,2026-02-14,Ireland,Oman,Ireland,"Sinhalese Sports Club Ground, Colombo",Colombo,Oman,field,L Tucker
1512741,2026-02-14,Scotland,England,England,"Eden Gardens, Kolkata",Kolkata,England,field,T Banton
1512742,2026-02-14,New Zealand,South Africa,South Africa,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,South Africa,field,M Jansen
1512743,2026-02-15,Nepal,West Indies,West Indies,"Wankhede Stadium, Mumbai",Mumbai,West Indies,field,JO Holder
1512744,2026-02-15,United States of America,Namibia,United States of America,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,United States of America,bat,SP Krishnamurthi
1512745,2026-02-15,India,Pakistan,India,"R Premadasa Stadium, Colombo",Colombo,Pakistan,field,Ishan Kishan
1512747,2026-02-16,England,Italy,England,"Eden Gardens, Kolkata",Kolkata,England,bat,WG Jacks
1512748,2026-02-16,Australia,Sri Lanka,Sri Lanka,Pallekele International Cricket Stadium,Kandy,Sri Lanka,field,P Nissanka
1512749,2026-02-17,Canada,New Zealand,New Zealand,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Canada,bat,GD Phillips
1512751,2026-02-17,Scotland,Nepal,Nepal,"Wankhede Stadium, Mumbai",Mumbai,Nepal,field,DS Airee
1512752,2026-02-18,United Arab Emirates,South Africa,South Africa,"Arun Jaitley Stadium, Delhi",Delhi,South Africa,field,C Bosch
1512753,2026-02-18,Pakistan,Namibia,Pakistan,"Sinhalese Sports Club Ground, Colombo",Colombo,Pakistan,bat,Sahibzada Farhan
1512754,2026-02-18,India,Netherlands,India,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,India,bat,S Dube
1512755,2026-02-19,West Indies,Italy,West Indies,"Eden Gardens, Kolkata",Kolkata,Italy,field,SD Hope
1512756,2026-02-19,Sri Lanka,Zimbabwe,Zimbabwe,"R Premadasa Stadium, Colombo",Colombo,Sri Lanka,bat,Sikandar Raza
1512758,2026-02-20,Oman,Australia,Australia,Pallekele International Cricket Stadium,Kandy,Australia,field,A Zampa
1512760,2026-02-22,England,Sri Lanka,England,Pallekele International Cricket Stadium,Kandy,Sri Lanka,field,WG Jacks
1512761,2026-02-22,South Africa,India,South Africa,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,South Africa,bat,DA Miller
1512762,2026-02-23,West Indies,Zimbabwe,West Indies,"Wankhede Stadium, Mumbai",Mumbai,Zimbabwe,field,SO Hetmyer
1512763,2026-02-24,Pakistan,England,England,Pallekele International Cricket Stadium,Kandy,Pakistan,bat,HC Brook
1512764,2026-02-25,New Zealand,Sri Lanka,New Zealand,"R Premadasa Stadium, Colombo",Colombo,Sri Lanka,field,R Ravindra
1512765,2026-02-26,West Indies,South Africa,South Africa,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,South Africa,field,AK Markram
